city,date,price_local,currency,hpi,income,median_multiple,country,rate,monthly_payment,mdsr
Toronto,2021-01,929600.0,CAD,291.9,95996.71232876711,9.683664965695172,Canada,3.3,4554.682722980034,0.5693548388258888
Toronto,2021-02,950500.0,CAD,298.4,96141.09589041096,9.886510978442072,Canada,3.25,4631.940721856706,0.578142865415624
Toronto,2021-03,966800.0,CAD,303.5,96271.50684931508,10.04243136562974,Canada,3.26,4716.482040459104,0.587897565310747
Toronto,2021-04,981600.0,CAD,308.2,96415.8904109589,10.180894412903006,Canada,3.25,4783.496067937446,0.5953578043057194
Toronto,2021-05,1005100.0,CAD,315.6,96555.61643835616,10.409544644579883,Canada,3.25,4898.015380892347,0.6087288004445868
Toronto,2021-06,1018300.0,CAD,319.7,96700.0,10.530506721820062,Canada,3.26,4967.72203330524,0.6164701592519429
Toronto,2021-07,1037200.0,CAD,325.7,96469.86301369865,10.751544239808018,Canada,3.2,5027.0903997133055,0.6253257018515052
Toronto,2021-08,1053600.0,CAD,330.8,96232.05479452056,10.948534791756227,Canada,3.2,5106.577752736153,0.6367829634697051
Toronto,2021-09,1083800.0,CAD,340.3,95994.24657534246,11.290259975626393,Canada,3.22,5264.3732400821755,0.658086095101588
Toronto,2021-10,1114600.0,CAD,350.0,95764.1095890411,11.639015961022949,Canada,3.29,5455.207414803507,0.6835806155204244
Toronto,2021-11,1144100.0,CAD,359.2,95526.301369863,11.976806215601528,Canada,3.4,5666.458150208042,0.7118196436730106
Toronto,2021-12,1165900.0,CAD,366.1,95296.16438356164,12.234490312824333,Canada,3.45,5805.552506468864,0.7310538732411321
Toronto,2022-01,1220000.0,CAD,383.0,95058.35616438356,12.834221516415296,Canada,3.44,6068.419792853722,0.7660666610762331
Toronto,2022-02,1259200.0,CAD,395.4,94820.54794520549,13.279822014186855,Canada,3.58,6358.007126577561,0.8046366233089098
Toronto,2022-03,1238500.0,CAD,388.9,94605.75342465754,13.09116998879271,Canada,3.77,6381.00459188095,0.8093805326919375
Toronto,2022-04,1206700.0,CAD,378.9,94367.94520547944,12.787181043017275,Canada,4.19,6496.68081431878,0.8261297795779348
Toronto,2022-05,1169700.0,CAD,367.3,94137.80821917808,12.425400825953208,Canada,4.63,6588.183320203833,0.839813474925795
Toronto,2022-06,1137500.0,CAD,357.1,93900.0,12.11395101171459,Canada,5.05,6682.890623847697,0.8540435302041786
Toronto,2022-07,1106400.0,CAD,347.4,93957.53424657536,11.775532519791804,Canada,5.51,6800.872952072285,0.8685889437104085
Toronto,2022-08,1090200.0,CAD,342.3,94016.98630136986,11.595776921687133,Canada,5.58,6746.966508348917,0.8611592573352602
Toronto,2022-09,1080800.0,CAD,339.3,94076.43835616438,11.488530166375927,Canada,5.64,6727.722836261997,0.8581604006892545
Toronto,2022-10,1071400.0,CAD,336.4,94133.97260273973,11.381650751333716,Canada,5.75,6740.245995556307,0.8592323229363171
Toronto,2022-11,1064200.0,CAD,334.1,94193.42465753424,11.298028539350682,Canada,5.88,6778.805238379378,0.8636023497001705
Toronto,2022-12,1051600.0,CAD,330.2,94250.9589041096,11.157446165294637,Canada,5.89,6704.9396143628655,0.8536706290088062
Toronto,2023-01,1035800.0,CAD,325.2,94310.4109589041,10.98288078133125,Canada,5.86,6585.312810800212,0.8379112435851568
Toronto,2023-02,1032000.0,CAD,324.0,94369.86301369865,10.9356945855712,Canada,5.81,6529.848513948586,0.8303305702161359
Toronto,2023-03,1041000.0,CAD,326.8,94423.56164383562,11.024790654758796,Canada,5.81,6586.794867267905,0.8370954985298951
Toronto,2023-04,1066800.0,CAD,334.9,94483.01369863014,11.290918422677992,Canada,5.75,6711.307101044867,0.8523826882726334
Toronto,2023-05,1091300.0,CAD,342.6,94540.54794520549,11.543195207970486,Canada,5.74,6858.844995544714,0.870590891796398
Toronto,2023-06,1105600.0,CAD,347.1,94600.0,11.687103594080336,Canada,5.85,7022.3670387603825,0.8907865165446575
Toronto,2023-07,1111700.0,CAD,349.0,94575.40983606558,11.754641105198385,Canada,5.99,7155.904614152111,0.9079617579101326
Toronto,2023-08,1105300.0,CAD,347.0,94550.0,11.690111052353252,Canada,6.17,7236.763825151643,0.9184681745300868
Toronto,2023-09,1094300.0,CAD,343.6,94524.59016393442,11.576881720430109,Canada,6.27,7232.296486351369,0.9181479410352414
Toronto,2023-10,1076300.0,CAD,337.9,94500.0,11.38941798941799,Canada,6.42,7213.543325479247,0.9160055016481583
Toronto,2023-11,1054900.0,CAD,331.2,94474.59016393442,11.16596534760843,Canada,6.47,7102.99791730089,0.9022105823344383
Toronto,2023-12,1045100.0,CAD,328.1,94450.0,11.065113816834304,Canada,6.39,6984.923991350969,0.8874440221938764
Toronto,2024-01,1035500.0,CAD,325.1,94424.59016393442,10.966423028177571,Canada,6.31,6869.331800204428,0.8729927390665881
Toronto,2024-02,1042400.0,CAD,327.3,94399.18032786885,11.04246876275322,Canada,6.15,6812.101011501641,0.8659525628729066
Toronto,2024-03,1046000.0,CAD,328.4,94375.40983606558,11.083395577480935,Canada,6.13,6822.758436276125,0.8675257821664651
Toronto,2024-04,1042600.0,CAD,327.3,94350.0,11.050344462109168,Canada,6.08,6768.564254172661,0.8608666777962048
Toronto,2024-05,1035800.0,CAD,325.2,94325.40983606558,10.981134370899484,Canada,6.05,6705.36792374861,0.8530513169762824
Toronto,2024-06,1039300.0,CAD,326.3,94300.0,11.02120890774125,Canada,5.98,6683.524145587832,0.8505014819411876
Toronto,2024-07,1037300.0,CAD,325.7,94300.0,11.0,Canada,5.91,6626.3876538508275,0.8432306664497342
Toronto,2024-08,1033200.0,CAD,324.4,94300.0,10.956521739130435,Canada,5.73,6487.4459460981125,0.8255498552828987
Toronto,2024-09,1028600.0,CAD,323.0,94300.0,10.907741251325556,Canada,5.55,6347.254434053529,0.8077100022125382
Toronto,2024-10,1025200.0,CAD,321.9,94300.0,10.871686108165427,Canada,5.44,6258.943348871995,0.7964721122636685
Toronto,2024-11,1028100.0,CAD,322.8,94300.0,10.902439024390244,Canada,5.38,6239.969250143009,0.7940575928071697
Toronto,2024-12,1024500.0,CAD,321.7,94300.0,10.864262990455993,Canada,5.35,6199.884057032121,0.7889566138322954
Vancouver,2019-01,924200.0,CAD,260.6,,,Canada,4.59,5184.329743252284,
Vancouver,2019-02,905900.0,CAD,255.4,,,Canada,4.52,5045.575768813544,
Vancouver,2019-03,892200.0,CAD,251.5,,,Canada,4.44,4928.80145537755,
Vancouver,2019-04,882800.0,CAD,248.9,,,Canada,4.33,4822.095605707782,
Vancouver,2019-05,873200.0,CAD,246.2,,,Canada,4.3,4754.937330653804,
Vancouver,2019-06,871600.0,CAD,245.7,92000.0,9.47391304347826,Canada,4.23,4712.03398014842,0.6146131278454461
Vancouver,2019-07,871300.0,CAD,245.6,92024.59016393442,9.468121492829786,Canada,4.14,4666.661921694407,0.6085323820575944
Vancouver,2019-08,878000.0,CAD,247.5,92050.0,9.538294405214558,Canada,4.08,4673.278604106948,0.6092269771785266
Vancouver,2019-09,886500.0,CAD,249.9,92075.40983606558,9.627977780151692,Canada,4.07,4713.6054306614005,0.6143145631243359
Vancouver,2019-10,894300.0,CAD,252.1,92100.0,9.710097719869706,Canada,4.09,4764.99930760407,0.6208468153230059
